Action,Description,Filter,Message,Name,RegEx,Sev,ThresholdPerDay,ThresholdPerMin
Collect the logs and analyze them for the reason connection failure and perform needed troubleshooting. Contact TAC for further assistance,"This message has been identified when the controller is connecting to the TACACS server and the connection failed

",Y,AAA-4-POLL_CALL_FAIL,AAA-4-POLL_CALL_FAIL,*AAA-4-POLL_CALL_FAIL*,4,0,0
Collect the logs and analyze them for the reason connection failure and perform needed troubleshooting. Contact TAC for further assistance,Could not process proxy request.,N,AAA-4-PROC_PROXY_REQ_FAILED,AAA-4-PROC_PROXY_REQ_FAILED,*AAA-4-PROC_PROXY_REQ_FAILED*,4,0,0
No action is required.,This message can be seen when the system could not process a RADIUS response.,Y,AAA-4-PROC_RADIUS_RESP_FAILED,AAA-4-PROC_RADIUS_RESP_FAILED,*AAA-4-PROC_RADIUS_RESP_FAILED*,4,0,0
This is an informational message so no action is required.,A RADIUS client is not found in the client list.,Y,AAA-4-RADCLIENT_NOT_FOUND,AAA-4-RADCLIENT_NOT_FOUND,*AAA-4-RADCLIENT_NOT_FOUND*,4,0,0
This error will auto recover no action is required.,A RADIUS server failed to respond to a request for STA.,Y,AAA-4-RADIUS_RESPONSE_FAILED,AAA-4-RADIUS_RESPONSE_FAILED,*AAA-4-RADIUS_RESPONSE_FAILED*,4,0,0
This is an informational message so no action is required.,The system is unable to send a RADIUS message to a specific host.,Y,AAA-4-RADIUSMSG_SEND_FAILED,AAA-4-RADIUSMSG_SEND_FAILED,*AAA-4-RADIUSMSG_SEND_FAILED*,4,0,0
Verify the RADIUS (Remote Authentication Dial In User Service) server configuration and connectivity.,This log indicates that client authentication failed because a valid RADIUS (Remote Authentication Dial In User Service) server could not be found to service the request.,N,AAA-4-RADSERVER_NOT_FOUND,AAA-4-RADSERVER_NOT_FOUND,*AAA-4-RADSERVER_NOT_FOUND*,4,0,0
No action is required.,The system has received a message from an unknown server.,Y,AAA-4-RCV_FROM_UNKNOWN_SERVER,AAA-4-RCV_FROM_UNKNOWN_SERVER,*AAA-4-RCV_FROM_UNKNOWN_SERVER*,4,0,0
No action is required.,"A remote login attempt was denied due to authentication policy. For example, the configured policy may prohibit remote logins for accounts with empty passwords.",N,AAA-4-REMOTE_LOGIN_DENIED_BY_POLICY,AAA-4-REMOTE_LOGIN_DENIED_BY_POLICY,*AAA-4-REMOTE_LOGIN_DENIED_BY_POLICY*,4,0,0
"Check for connectivity and configuration of server

",Message indicates the TACACS+ server was not found.,N,AAA-4-TPLUS_SERVER_NOT_FOUND,AAA-4-TPLUS_SERVER_NOT_FOUND,*AAA-4-TPLUS_SERVER_NOT_FOUND*,4,0,0
Verify the necessary configuration needed for switchover. Reach out to TAC for more support,"The TACACS+ server switchover has failed.

",N,AAA-4-TPLUS_SWITCHOVER_FAILED,AAA-4-TPLUS_SWITCHOVER_FAILED,*AAA-4-TPLUS_SWITCHOVER_FAILED*,4,0,0
No action is required,Tacacs Server response is greater than max length 4096.,Y,AAA-4-TPLUS_TOO_BIG_PACKET,AAA-4-TPLUS_TOO_BIG_PACKET,*AAA-4-TPLUS_TOO_BIG_PACKET*,4,0,0
No action is required.,The transmission queue is full. Hence the system is dropping session packets.,Y,AAA-4-TXQUEUE_ADD_FAILED,AAA-4-TXQUEUE_ADD_FAILED,*AAA-4-TXQUEUE_ADD_FAILED*,4,0,0
No action is required.,Authentication for an admin user.,Y,AAA-5-AAA_AUTH_ADMIN_USER,AAA-5-AAA_AUTH_ADMIN_USER,*AAA-5-AAA_AUTH_ADMIN_USER*,5,0,0
No action is required.,Authentication for a network user.,Y,AAA-5-AAA_AUTH_NETWORK_USER,AAA-5-AAA_AUTH_NETWORK_USER,*AAA-5-AAA_AUTH_NETWORK_USER*,5,0,0
This is an informational message no action is required.,The controller is connecting to the TACACS server.,Y,AAA-5-SELECT_CALL_SUCCESS,AAA-5-SELECT_CALL_SUCCESS,*AAA-5-SELECT_CALL_SUCCESS*,5,0,0
No action is required,TACACS+ server switchover successful,Y,AAA-5-TPLUS_SWITCHOVER_SUCCESS,AAA-5-TPLUS_SWITCHOVER_SUCCESS,*AAA-5-TPLUS_SWITCHOVER_SUCCESS*,5,0,0
This is an information message. No action is required.,This is an accounting message.,Y,AAA-6-AAA_ACCOUNTING_MESSAGE,AAA-6-AAA_ACCOUNTING_MESSAGE,*AAA-6-AAA_ACCOUNTING_MESSAGE*,6,0,0
"Add the MAC address manually. If it doesn t work, check the logs to find the reason for failure and troubleshoot further. For further assistance contact TAC",A default gateway ARP lookup has failed when sending a RADIUS request over a dynamic interface.,N,AAA-6-ARP_LOOKUP_FAIL,AAA-6-ARP_LOOKUP_FAIL,*AAA-6-ARP_LOOKUP_FAIL*,6,0,0
"If the error persists, check the originating device for matching authentication mode and password",A packet was received and did not pass the authentication check.,Y,AAA-6-AUTH_FAIL,AAA-6-AUTH_FAIL,*AAA-6-AUTH_FAIL*,6,0,0
"message is harmless
CSCvf5704","The log will appear when 1. we do repeated one session create   teardown in fast pace for several times. 2. we set up 1000 session with 5 TPS on RP1 RP2, then the console will be overwhelmed by this log.",Y,AAA-6-BADHDL,AAA-6-BADHDL,*AAA-6-BADHDL*,6,0,0
No action is required.,Creating an AVL tree with entries.,Y,AAA-6-CREATE_AVL_TREE,AAA-6-CREATE_AVL_TREE,*AAA-6-CREATE_AVL_TREE*,6,0,0
No action is required.,"The system has added a user to the AAA (Authentication, authorization, and accounting) database.",Y,AAA-6-DB_ADD_USER,AAA-6-DB_ADD_USER,*AAA-6-DB_ADD_USER*,6,0,0
No action is required,Delete client because guest user account expired,Y,AAA-6-DELETE_CLIENT_GUEST_ACCOUNT_EXPIRE,AAA-6-DELETE_CLIENT_GUEST_ACCOUNT_EXPIRE,*AAA-6-DELETE_CLIENT_GUEST_ACCOUNT_EXPIRE*,6,0,0
No action is required.,"A functional module is started.

https:  www.cisco.com c en us td docs wireless controller 7-6 message guide sysmsg76 aaa_acl_msgs1.pd",Y,AAA-6-FUNC_RUNNING,AAA-6-FUNC_RUNNING,*AAA-6-FUNC_RUNNING*,6,0,0
No action is required.,Guest user account expired,Y,AAA-6-GUEST_ACCOUNT_EXPIRE,AAA-6-GUEST_ACCOUNT_EXPIRE,*AAA-6-GUEST_ACCOUNT_EXPIRE*,6,0,0
No action required this is an informational message.,This message indicates a RADIUS server is in the global list.,Y,AAA-6-RADIUS_IN_GLOBAL_LIST,AAA-6-RADIUS_IN_GLOBAL_LIST,*AAA-6-RADIUS_IN_GLOBAL_LIST*,6,0,0
This is an informational message only. No action is required.,This message indicates that the AAA RADIUS server is on a WLAN.,Y,AAA-6-RADIUS_ON_WLAN,AAA-6-RADIUS_ON_WLAN,*AAA-6-RADIUS_ON_WLAN*,6,0,0
If unavailable check the logs for reason of failure and troubleshoot. Contact TAC for further assistance,"Describes the availability of the RADIUS server

",N,AAA-6-RADIUS_SERVER_AVAILABILITY,AAA-6-RADIUS_SERVER_AVAILABILITY,*AAA-6-RADIUS_SERVER_AVAILABILITY*,6,0,0
It is a memory lack here and not memory leak. Identify the root cause of low memory. Contact TAC for further assistance,"AAA unable to create UID for incoming calls due to insufficient processor memory.The root cause of the problem is low memory conditions on the device. When AAA fails to allocate memory to create the Unique ID (UID) for the incoming SSH session, it reports the same failure as an AAA authentication failure even though AAA is not attempted.

",N,AAA-DFC2-3-ACCT_LOW_MEM_UID_FAIL,AAA-DFC2-3-ACCT_LOW_MEM_UID_FAIL,*AAA-DFC*-3-ACCT_LOW_MEM_UID_FAIL*,3,0,0
It is a memory lack here and not memory leak. Identify the root cause of low memory. Contact TAC for further assistance,"This log indicates that AAA (Authentication, Authorization and Accounting) unable to create UID (Unique Device Identifier) for incoming calls due to insufficient processor memory",N,AAA-SP-3-ACCT_LOW_MEM_UID_FAIL,AAA-SP-3-ACCT_LOW_MEM_UID_FAIL,*AAA-SP-3-ACCT_LOW_MEM_UID_FAIL*,3,0,0
 Check if there are any connectivity issues between the device and server. Also check if the AAA server is operationa as well as its configurations for accounting are proper.,"This message indicates that device tried to send an accounting record to the tacacs or radius server, but it failed.",N,AAAA-3-DROPACCT,AAAA-3-DROPACCT,*AAAA-3-DROPACCT*,3,0,0
"Disable periodic accounting if it is activated and reduce the load on the device. If conditions recurs, upgrade to a larger memory configuration.",This message indicates that an accounting record has been dropped because of low memory.,N,AAAA-3-DROPACCTLOWMEM,AAAA-3-DROPACCTLOWMEM,*AAAA-3-DROPACCTLOWMEM*,3,0,0
"Check that the server (TACACS+ or RADIUS) is operational. Next, check that the NAS is configured properly. Finally, check that the NAS can communicate with the server.",An attempt to send an accounting record to a server failed.,N,AAAA-3-DROPACCTSNDFAIL,AAAA-3-DROPACCTSNDFAIL,*AAAA-3-DROPACCTSNDFAIL*,3,0,0
Try to identify whether any bug has been hit. Contact TAC for further assistance,This is an internal software error.,N,AAAA-3-INTERNAL_ERROR,AAAA-3-INTERNAL_ERROR,*AAAA-3-INTERNAL_ERROR*,3,0,0
"Configuring a radius or tacacs authentication group will prevent the message from appearing with every new login, but a single message will still appear on bootup.",This message means that authentication method 5 has no registry table.,N,AAAA-3-NOREG,AAAA-3-NOREG,*AAAA-3-NOREG*,3,0,0
"
Check logs for the deprecated CLI and use alternative CLIs to achieve the functionality.
Eg:
AAA-4-CLI_DEPRECATED: STANDBY:WARNING: Command has been added to the configuration but Type 4 passwords have been deprecated. Migrate to a supported password type

>Hashing -type 4 cannot be selected because it is no longer available. Here are the current options:

 md5 Encode the password using the MD5 algorithm (number 5)
scrypt Encode the password using the SCRYPT hashing algorithm (number 9)
sha256 Encode the password using the PBKDF2 hashing algorithm (number 8)

","The CLI used is deprecated.

",N,AAAA-4-CLI_DEPRECATED,AAAA-4-CLI_DEPRECATED,*AAAA-4-CLI_DEPRECATED*,4,0,0
"Please define the server on the appropriate master-list as soon as possible. 

","The given server is not on the master-list, and should be defined, or unexpected things might happen. 

",N,AAAA-4-NOSERVER,AAAA-4-NOSERVER,*AAAA-4-NOSERVER*,4,0,0
"It is recommended to Use a TACACS+ server-group

","The protocol used by the server-group doesn t support the configured AAA action.

",N,AAAA-4-SERVNOTACPLUS,AAAA-4-SERVNOTACPLUS,*AAAA-4-SERVNOTACPLUS*,4,0,0
"In order to rectify this error, define the server-group before using it.",This error is identified when user tries to give server-group which is listed in a method-list without defining it first.,N,AAAA-4-SERVUNDEF,AAAA-4-SERVUNDEF,*AAAA-4-SERVUNDEF*,4,0,0
"In order to rectify this error, define the server-group before using it.

","This error is identified when user tries to give server-group which is listed in a method-list without defining it first.

",N,AAAA-STBY-4-SERVUNDEF,AAAA-STBY-4-SERVUNDEF,*AAAA-STBY-4-SERVUNDEF*,4,0,0
"Please define the server on the appropriate as soon as possible. If server is defined and still the error occurs, contact TAC for further assistance","The given server is not on the method-list, and should be defined. Sometimes his warning message is displayed during the boot process even when a RADIUS or a TACACS server have been defined.

",N,AAAA-SW1-4-NOSERVER,AAAA-SW1-4-NOSERVER,*AAAA-SW\d+-4-NOSERVER*,4,0,0
Define the server,"This warning is identified when server TACACS2 is not defined on switch which is StandBy. 
",N,AAAA-SW2_STBY-4-NOSERVER,AAAA-SW2_STBY-4-NOSERVER,*AAAA-SW\d+_STBY-4-NOSERVER*,4,0,0
Open Cisco TAC Sev 1 and engage Cisco engineer on call.,"An error was encountered while initializing one of the critical modules of the aaad. Without proper initialization of this module, aaad can not operate properly. Initialization will be retried. Open Cisco TAC Sev 1",N,AAAD-0-INIT_FAILURE,AAAD-0-INIT_FAILURE,*AAAD-0-INIT_FAILURE*,1,0,0
ACE SPA SYSLOG message Open Cisco TAC Sev 1,ACE line card error,N,ACE_LC-0-ACE_SYSLOG_EMERG,ACE_LC-0-ACE_SYSLOG_EMERG,*ACE_LC-0-ACE_SYSLOG_EMERG*,1,0,0
"Verify connectivity between the peers. If a peer device is physically up, but connectivity is the problem, you may end up with two active devices. If connectivity is lost due to the peer going down, reboot the peer to restore redundancy between the two devices.","An active or standby device cannot reach its redundant peer. This message is displayed on both devices and causes a switchover on the standby device. After the switchover occurs, both devices are no longer redundant. The error str value can be one of the following. 1. Heartbeat stopped. Ping on alternate interface failed. 2. Heartbeat stopped. No alternate interface configured.",N,ACE-1-727001,ACE-1-727001,*ACE-1-727001*,1,0,0
No action is required.,Two actives have been detected for FT group,N,ACE-1-727004,ACE-1-727004,*ACE-1-727004*,1,0,0
"ACE stopped sending heartbeats. Reload the ACE, if you required assistance reach out to Cisco TAC.",The device is unable to establish a TCP connection to the peer. The error str variable is  Failed to establish a TCP connection to Peer device. ,N,ACE-1-727009,ACE-1-727009,*ACE-1-727009*,1,0,0
 None required.,This message logs a reload record of the ACE and the reason for the reload. The reason variable describes why the reload occurred.,N,ACE-2-199006,ACE-2-199006,*ACE-2-199006*,2,0,0
No action is required.,This message is informational. The user entered a command that does not modify the configuration.,Y,ACE-2-199008,ACE-2-199008,*ACE-2-199008*,2,0,0
"Check the core file. The system reloads will fix the issue. If it does not, contact TAC for further assistance","If the ACE encounters a fatal error and reloads, it displays the module or service name and reboots. The Char variable can be one of the following: •tar system call failed •Sysmgr core not present •Service name:Sysmgr(1234) has terminated on receiving signal 11",N,ACE-2-443001,ACE-2-443001,*ACE-2-443001*,2,0,0
No action is required.,This message displays the state transitions made by an HA state (redundancy) device for a context.,Y,ACE-2-727012,ACE-2-727012,*ACE-2-727012*,2,0,0
No action recommended.,The log indicates that the peer is now reachable. Heartbeats are flowing successfully between the two peers.,N,ACE-2-727013,ACE-2-727013,*ACE-2-727013*,2,0,0
No action required.,"Indicates peer synchronization status ie., running configuration sync, statup configuration sync, data replication peer is Completed, etc. 
When replication is being carried out to a peer, the following string is displayed:

 Replication for context ctx name has started. Status - status.
The status variable indicates the synchronization status. Values for the status variable can be one of the following:

•Running Configuration sync has started to peer.

•Startup Configuration sync has started to peer.

•Startup Configuration sync has completed to peer.

•Running Configuration sync has completed to peer.

•Data Replication has completed to peer.

•Startup configuration has been applied successfully for context.

When config sync is enabled, the active ACE sends the following replication_message string if the peer has a different major software version:

 Configuration Replication status for context Admin - Incremental Sync disabled due to 
peer software version mismatch.
",N,ACE-2-727016,ACE-2-727016,*ACE-2-727016*,2,0,0
No action required.,"The FT track is up. The track type variable can be interface, hsrp, host.",N,ACE-2-727017,ACE-2-727017,*ACE-2-727017*,2,0,0
This is an informational message no action is required.,"Fast Transition (FT) Track track type track name is DOWN. The track type variable can be one of the following: Interface, HSRP, Host.",N,ACE-2-727018,ACE-2-727018,*ACE-2-727018*,2,0,0
Contact Cisco TAC if this error frequently occurs.,"The configured service on port P of server A.B.C.D failed its health checks because the ACE encountered an internal error while performing the probe. Because the error is internal to the system, the real health of the server is unknown.",N,ACE-3-251006,ACE-3-251006,*ACE-3-251006*,3,0,0
Check the memory-related information in the system. Enter the show processes cpu memorycommand and locate the MemAlloc column in the output.,An error occurred for the SNMP Shadow Table Deletion. A deletion failure may result in a memory leak or wrong or nonexistent values being returned for subsequent Get Get-Next requests on the table name specified by variable 2.,N,ACE-3-440003,ACE-3-440003,*ACE-3-440003*,3,0,0
No action is required.,(ACE appliance only) This message is associated with an Apache core server error.,Y,ACE-3-456094,ACE-3-456094,*ACE-3-456094*,3,0,0
"Use the information and parameters given in the log to troubleshoot the issue further. Contact the TAC for further assistance.

","An error occured in the indicated control transaction. 

",N,ACE-3-TRANSERR,ACE-3-TRANSERR,*ACE-3-TRANSERR*,3,0,0
"If messages persist from the same source address, contact the remote host administrators. Such messages may indicate a foot-printing or port-scanning attempt.","This log has been detected when an IP packet was denied by the ACL. This message appears even if do not have the log option enabled for an ACL. If a packet hits an input ACL, the outgoing interface will not be known. In this case, the ACE prints the outgoing interface as undetermined. The source IP and destination IP addresses are the unmapped and mapped addresses for the input and output ACLs, respectively, when used with NAT.",N,ACE-4-106023,ACE-4-106023,*ACE-4-106023*,4,0,0
No action is required.,"ICMP packets were discarded by the ACE because of security checks added by the statefulICMP feature. These ICMP packets are discarded for any of the following reasons. 1. ICMP echo replies are received without a valid echo request already passed across the ACE.2.ICMP error messages are received that are not related to any TCP, UDP, or ICMP session already established in the ACE.",Y,ACE-4-313004,ACE-4-313004,*ACE-4-313004*,4,0,0
"See the Cisco Intrusion Detection System User Guide.Contact Cisco TAC for further assistance

",Cisco Intrusion Detection System signature message. The ACE does not support IP options. This IDS message is generated whenever the ACE detects IP options in a packet.,N,ACE-4-400000,ACE-4-400000,*ACE-4-400000*,4,0,0
"Check the source MAC address to determine where the packets are coming from and determine if the host is valid.","The ACE received an ARP packet, and the MAC address in the packet differs from the ARP cache entry.This traffic may be legitimate, or it may indicate that an ARP poisoning attack is in progress. 

",N,ACE-4-405001,ACE-4-405001,*ACE-4-405001*,4,0,0
No action is required.,The status of the line protocol has changed from down to up.,Y,ACE-4-411001,ACE-4-411001,*ACE-4-411001*,4,0,0
"If this is an unexpected event on the interface, check the line.",The status of the line protocol has changed from up to down.,N,ACE-4-411002,ACE-4-411002,*ACE-4-411002*,4,0,0
"If this event on the interface is unexpected, check the line.",The configuration status of the interface has changed from down to up.,N,ACE-4-411003,ACE-4-411003,*ACE-4-411003*,4,0,0
No action required.This is an informational message.,Message indicates the state of a real server changed from down to up.,N,ACE-4-442001,ACE-4-442001,*ACE-4-442001*,4,0,0
No action required.This is an informational message.,This message indicates an health problem. The state of a real server changed from up to down in the specified server farm.,N,ACE-4-442002,ACE-4-442002,*ACE-4-442002*,4,0,0
"None required.

However, if you configured the Inband HM action as remove and did not configure a resume-service value, the real server remains in the INBAND-HM-FAILED state until you manually suspend it and then reactivate it.

","This message reports a real server state change.

The new state variable can be one of the following:

•outOfService since max connection reached

•outOfService since retcode threshold reached

•outOfService in normal scenarios

•outOfService since inband HM threshold reached

When you configure the inband health monitoring (HM) action as remove, the configured threshold for inband HM is crossed. This message is generated when the control plane receives a threshold crossed notification from the network processors and moves the real server to INBAND-HM-FAILED state.

",N,ACE-4-442003,ACE-4-442003,*ACE-4-442003*,4,0,0
No action is required. This syslog is for informational purposes only.,"Whenever a real server is manually placed in service or taken out of service, this syslog is generated. Also, this syslog is generated if there is an indication from the data plane about the state change of the real server.",N,ACE-4-442006,ACE-4-442006,*ACE-4-442006*,4,0,0
"This syslog is for informational purposes only, no action is required.","When a server farm transitions from the INSERVICE or OUTOFSERVICE state, the VIP state changes respectively and this syslog is generated.",N,ACE-4-442007,ACE-4-442007,*ACE-4-442007*,4,0,0
This is an informational message no action is required.,A security context was successfully added to the system.,Y,ACE-5-504001,ACE-5-504001,*ACE-5-504001*,5,0,0
This is an informational message. No action is required.,The message indicates that two devices are in a compatible state and can be configured for redundancy.,Y,ACE-5-727021,ACE-5-727021,*ACE-5-727021*,5,0,0
No action is required. This message is useful when troubleshooting commands or configuration directives from the control processor that are ignored by the ACE.,An unrecognized message was received from the control processor (CP) during load-balancing operations. The message is discarded. The variables displayed in this message represent the following. variable1—Specifies the raw (decimal) unrecognized message type that is received. variable2—Specifies the (decimal) source SAP on the CP from which this message was sent.,Y,ACE-LB_MSG-3-728027,ACE-LB_MSG-3-728027,*ACE-LB_MSG-3-728027*,3,0,0
Copy the message and contact CISCO TAC,Unable to get an access control list by name,Y,ACL-3-ENTRY_DONOT_EXIST,ACL-3-ENTRY_DONOT_EXIST,*ACL-3-ENTRY_DONOT_EXIST*,3,0,0
